id,type,lat,lon,name,amenity,shop,tourism,historic,craft,other_tags
214375,relation,25.0515122,121.5077649,忠孝國中,school,,,,,"{""addr:city"": ""臺北市"", ""addr:country"": ""TW"", ""addr:district"": ""大同區"", ""addr:full"": ""103301臺北市大同區西寧北路32號"", ""addr:housenumber"": ""32"", ""addr:postcode"": ""103301"", ""addr:street"": ""西寧北路"", ""emergency"": ""assembly_point"", ""emergency:amenity"": ""social_facility"", ""emergency:shelter_type"": ""水災,震災"", ""emergency:social_facility"": ""shelter"", ""emergency:social_facility:association_villages"": ""玉泉里、永樂里"", ""emergency:social_facility:for"": ""displaced_people"", ""emergency:social_facility:id"": ""2986"", ""emergency:social_facility:source"": ""內政部消防署"", ""evacuation_center"": ""yes"", ""fax"": ""+886 2 2552 1448"", ""grades"": ""7-9"", ""name:en"": ""Zhongxiao Junior High School"", ""name:nan"": ""Tiong-hàu Kok-tiong"", ""name:nan-Hant"": ""忠孝國中"", ""name:nan-Latn-pehoeji"": ""Tiong-hàu Kok-tiong"", ""name:nan-Latn-tailo"": ""Tiong-hàu Kok-tiong"", ""name:zh"": ""忠孝國中"", ""official_name"": ""臺北市立忠孝國民中學"", ""official_name:en"": ""Taipei Municipal Zhongxiao Junior High School"", ""official_name:nan"": ""Tiong-hàu Kok-tiong"", ""official_name:nan-Hant"": ""臺北市立忠孝國民中學"", ""official_name:nan-Latn-pehoeji"": ""Tiong-hàu Kok-tiong"", ""official_name:nan-Latn-tailo"": ""Tiong-hàu Kok-tiong"", ""official_name:zh"": ""臺北市立忠孝國民中學"", ""official_ref"": ""379062300X"", ""operator"": ""臺北市政府教育局"", ""operator:type"": ""government"", ""phone"": ""+886 2 2552 4890"", ""website"": ""https://www.chjh.tp.edu.tw/"", ""wikidata"": ""Q24291518""}"
4793818,relation,25.0577686,121.5153634,靜修中學,school,,,,,"{""addr:city"": ""臺北市"", ""addr:country"": ""TW"", ""addr:district"": ""大同區"", ""addr:full"": ""103324臺北市大同區寧夏路59號"", ""addr:housenumber"": ""59"", ""addr:postcode"": ""103324"", ""addr:street"": ""寧夏路"", ""denomination"": ""roman_catholic"", ""name:en"": ""Blessed Imelda's School"", ""name:zh"": ""靜修中學"", ""official_name"": ""臺北市私立靜修高級中學"", ""old_name"": ""臺北市私立靜修女子高級中學"", ""phone"": ""+886 2 2557 4345"", ""religion"": ""christian"", ""short_name"": ""靜修女中"", ""short_name:zh"": ""靜修女中"", ""website"": ""https://www.bish.tp.edu.tw/"", ""wikidata"": ""Q11594730"", ""wikipedia"": ""zh:臺北市私立靜修高級中學""}"
6836792,relation,25.058735,121.5087918,榮星幼兒園,kindergarten,,,,,{}
7362354,relation,25.0559771,121.5102422,迪化街商圈,,,attraction,,,"{""landuse"": ""retail"", ""name:en"": ""Dihua street"", ""name:ja"": ""迪化街"", ""name:nan"": ""Te̍k-hòa-koe Siong-khoan"", ""name:nan-Hant"": ""迪化街商圈"", ""name:nan-Latn-pehoeji"": ""Te̍k-hòa-koe Siong-khoan"", ""name:nan-Latn-tailo"": ""Ti̍k-huà-kue Siong-khuan"", ""name:zh"": ""迪化街商圈""}"
11078589,relation,25.0502953,121.5096567,市民大道停車場塔城段,parking,,,,,"{""fee"": ""yes"", ""maxheight"": ""1.8"", ""name:en"": ""Civic Boulevard Car Park (Tacheng)"", ""name:zh"": ""市民大道停車場塔城段"", ""ownership"": ""government"", ""parking"": ""underground"", ""site"": ""parking""}"
18579909,relation,25.0537467,121.5127057,皇家季節酒店,,,hotel,,,"{""addr:city"": ""臺北市"", ""addr:country"": ""TW"", ""addr:district"": ""大同區"", ""addr:housenumber"": ""326,330"", ""addr:postcode"": ""103005"", ""addr:street"": ""南京西路"", ""air_conditioning"": ""yes"", ""email"": ""rsvn.tp.nw@royalseasons.com"", ""fax"": ""+886 2 25556499"", ""name:en"": ""Royal Seasons Hotel"", ""name:zh"": ""皇家季節酒店"", ""phone"": ""+886 2 25556488"", ""site"": ""hotel"", ""start_date"": ""2006-04"", ""website"": ""http://www.royalseasons.com/"", ""wheelchair"": ""yes""}"
201268687,way,25.0549567,121.5105248,永樂布業商場,marketplace,,,,,"{""addr:city"": ""臺北市"", ""addr:country"": ""TW"", ""addr:district"": ""大同區"", ""addr:full"": ""103012臺北市大同區迪化街一段21號"", ""addr:housenumber"": ""21"", ""addr:postcode"": ""103012"", ""addr:street"": ""迪化街一段"", ""building"": ""retail"", ""name:en"": ""Yongle Fabric Market"", ""name:ja"": ""永楽市場"", ""name:zh"": ""永樂布業商場"", ""old_name"": ""永樂市場"", ""old_name:en"": ""Yongle Market"", ""opening_hours"": ""Mo-Sa 10:00-18:00"", ""wikidata"": ""Q17417798""}"
201280835,way,25.0557898,121.5126413,福興宮,place_of_worship,,,,,"{""building"": ""temple"", ""dedicated_to"": ""土地公"", ""religion"": ""taoist""}"
201280862,way,25.0538095,121.5121728,法主公廟,place_of_worship,,,,,"{""building"": ""temple"", ""dedicated_to"": ""法主公"", ""religion"": ""taoist""}"
201280863,way,25.0512131,121.5091639,臺北市立聯合醫院中興院區,hospital,,,,,"{""addr:city"": ""臺北市"", ""addr:country"": ""TW"", ""addr:district"": ""大同區"", ""addr:full"": ""103212臺北市大同區鄭州路145號"", ""addr:hamlet"": ""大同區"", ""addr:housenumber"": ""145"", ""addr:postcode"": ""103212"", ""addr:street"": ""鄭州路"", ""emergency"": ""yes"", ""healthcare"": ""hospital"", ""healthcare:speciality"": ""psychotherapist"", ""internet_access"": ""wlan"", ""name:en"": ""Taipei City Hospital Zhongxin Branch"", ""name:ja"": ""台北市立総合病院"", ""name:zh"": ""臺北市立聯合醫院中興院區"", ""old_name"": ""日本赤十字社台灣支部病院;國立台灣大學大二附屬醫院;省立臺北醫院;臺北市立中興醫院"", ""operator"": ""臺北市立聯合醫院"", ""operator:type"": ""public"", ""phone"": ""+886 2 2552 3234"", ""ref"": ""0101090517"", ""toilets:wheelchair"": ""yes"", ""website"": ""https://tpech.gov.taipei/mp.asp?mp=109141"", ""wheelchair"": ""yes""}"
201280869,way,25.0555972,121.5102156,霞海城隍廟,place_of_worship,,,,,"{""addr:city"": ""臺北市"", ""addr:country"": ""TW"", ""addr:district"": ""大同區"", ""addr:full"": ""103003臺北市大同區迪化街一段61號"", ""addr:housenumber"": ""61"", ""addr:postcode"": ""103003"", ""addr:street"": ""迪化街一段"", ""building"": ""temple"", ""dedicated_to"": ""城隍爺"", ""name:en"": ""Xiahai City God Temple"", ""name:zh"": ""霞海城隍廟"", ""phone"": ""+886 2 2558 0346"", ""religion"": ""taoist"", ""website"": ""http://www.tpecitygod.org/"", ""wheelchair"": ""no"", ""wheelchair:description"": ""入口處有鐵欄，需聯絡他人拿起才可進入。內部門檻低，可通行。"", ""wikidata"": ""Q10937179"", ""wikipedia"": ""zh:大稻埕霞海城隍廟""}"
201280874,way,25.0515505,121.5086245,N/A,parking,,,,,{}
201280878,way,25.0511229,121.5084765,N/A,parking,,,,,{}
201280883,way,25.0511563,121.5086984,N/A,parking,,,,,{}
201280886,way,25.0511641,121.5085842,N/A,parking,,,,,{}
231659462,way,25.059601,121.5125148,臺灣基督長老教會,place_of_worship,,,,,"{""branch"": ""大稻埕教會"", ""building"": ""church"", ""denomination"": ""presbyterian"", ""religion"": ""christian"", ""wikidata"": ""Q15924266"", ""wikipedia"": ""zh:臺灣基督長老教會大稻埕教會""}"
